# Format: Name|Primary|Secondary

DNS-01|78.157.42.101|78.157.42.110
DNS-02|78.157.42.102|78.157.42.110
DNS-03|78.157.42.100|178.22.122.100
DNS-04|178.22.122.100|78.157.42.100
DNS-05|78.157.42.102|10.202.10.10
DNS-06|78.157.42.110|10.202.10.10
DNS-07|78.157.42.100|10.202.10.10
DNS-08|78.157.42.102|185.51.200.2
DNS-09|78.157.42.101|10.202.10.10
DNS-10|10.202.10.10|78.157.42.110
DNS-11|78.157.42.100|10.202.10.10
DNS-12|10.202.10.10|78.157.42.100
DNS-13|185.51.200.2|78.157.42.101
DNS-14|185.51.200.2|78.157.42.102
DNS-15|178.22.122.100|185.51.200.2
DNS-16|45.90.126.10|45.90.33.120
DNS-17|10.202.10.10|10.202.10.11
DNS-18|178.22.122.100|185.51.200.2

